iter	Passed	Remaining
0	219	219604
1	264	131786
2	314	104506
3	360	89748
4	401	79830
5	440	73014
6	478	67881
7	517	64151
8	555	61128
9	594	58853
10	636	57195
11	674	55534
12	710	53943
13	749	52752
14	789	51817
15	829	51012
16	870	50324
17	905	49381
18	941	48585
19	978	47969
20	1021	47598
21	1069	47548
22	1118	47513
23	1167	47460
24	1217	47471
25	1268	47532
26	1320	47591
27	1369	47557
28	1418	47487
29	1465	47393
30	1512	47292
31	1562	47251
32	1613	47285
33	1656	47065
34	1694	46713
35	1732	46399
36	1780	46350
37	1838	46545
38	1896	46736
39	1949	46796
40	1984	46419
41	2021	46109
42	2057	45788
43	2093	45482
44	2132	45255
45	2172	45056
46	2210	44818
47	2245	44545
48	2283	44311
49	2321	44104
50	2361	43934
51	2400	43767
52	2439	43591
53	2476	43377
54	2522	43336
55	2572	43360
56	2616	43286
57	2655	43130
58	2695	42994
59	2739	42922
60	2779	42779
61	2817	42624
62	2858	42520
63	2895	42341
64	2930	42151
65	2972	42063
66	3010	41929
67	3048	41777
68	3085	41631
69	3123	41497
70	3160	41358
71	3202	41274
72	3239	41132
73	3281	41058
74	3321	40961
75	3358	40838
76	3411	40893
77	3448	40763
78	3490	40696
79	3526	40553
80	3566	40460
81	3603	40340
82	3643	40252
83	3679	40123
84	3714	39989
85	3751	39872
86	3787	39744
87	3826	39652
88	3863	39548
89	3899	39427
90	3937	39332
91	3975	39240
92	4013	39146
93	4051	39045
94	4092	38985
95	4139	38976
96	4182	38938
97	4223	38876
98	4260	38778
99	4301	38715
100	4339	38628
101	4379	38560
102	4419	38486
103	4457	38406
104	4497	38337
105	4535	38256
106	4574	38176
107	4612	38096
108	4656	38062
109	4693	37972
110	4732	37903
111	4773	37845
112	4810	37762
113	4846	37667
114	4881	37564
115	4920	37495
116	4960	37436
117	4998	37365
118	5034	37272
119	5076	37228
120	5111	37134
121	5149	37057
122	5191	37018
123	5227	36929
124	5263	36846
125	5300	36769
126	5338	36699
127	5376	36627
128	5417	36575
129	5456	36517
130	5492	36433
131	5528	36354
132	5566	36286
133	5605	36227
134	5643	36157
135	5681	36095
136	5720	36033
137	5755	35952
138	5790	35869
139	5829	35811
140	5867	35745
141	5903	35669
142	5938	35588
143	5976	35525
144	6017	35480
145	6054	35412
146	6092	35354
147	6130	35294
148	6173	35259
149	6211	35200
150	6252	35155
151	6288	35082
152	6337	35085
153	6387	35091
154	6425	35030
155	6464	34972
156	6501	34911
157	6550	34908
158	6600	34909
159	6644	34885
160	6684	34832
161	6730	34816
162	6775	34791
163	6822	34779
164	6868	34759
165	6919	34765
166	6962	34728
167	6999	34663
168	7039	34616
169	7077	34556
170	7116	34498
171	7153	34437
172	7190	34375
173	7233	34337
174	7270	34277
175	7311	34231
176	7358	34217
177	7399	34171
178	7439	34123
179	7478	34068
180	7516	34010
181	7552	33945
182	7591	33892
183	7628	33829
184	7663	33759
185	7699	33693
186	7735	33632
187	7775	33585
188	7813	33525
189	7850	33466
190	7887	33408
191	7926	33357
192	7965	33304
193	8003	33253
194	8042	33199
195	8083	33160
196	8119	33097
197	8159	33049
198	8197	32995
199	8238	32954
200	8275	32895
201	8311	32834
202	8348	32777
203	8389	32733
204	8425	32674
205	8463	32622
206	8502	32574
207	8543	32529
208	8588	32503
209	8635	32487
210	8671	32427
211	8714	32392
212	8756	32353
213	8799	32320
214	8837	32265
215	8874	32209
216	8908	32145
217	8949	32101
218	9009	32130
219	9062	32131
220	9115	32131
221	9167	32127
222	9218	32118
223	9264	32094
224	9312	32075
225	9359	32054
226	9405	32030
227	9457	32022
228	9496	31971
229	9533	31914
230	9569	31858
231	9616	31835
232	9659	31799
233	9705	31771
234	9751	31745
235	9800	31726
236	9851	31715
237	9897	31689
238	9935	31634
239	9973	31581
240	10008	31521
241	10044	31461
242	10082	31408
243	10120	31355
244	10169	31338
245	10207	31287
246	10247	31241
247	10277	31164
248	10318	31120
249	10369	31107
250	10416	31083
251	10460	31048
252	10502	31008
253	10548	30980
254	10589	30937
255	10638	30917
256	10682	30883
257	10724	30842
258	10760	30787
259	10798	30732
260	10836	30683
261	10865	30606
262	10901	30549
263	10940	30499
264	10984	30465
265	11019	30406
266	11058	30359
267	11094	30303
268	11138	30268
269	11175	30215
270	11214	30166
271	11248	30106
272	11285	30052
273	11324	30004
274	11361	29953
275	11400	29904
276	11438	29856
277	11470	29789
278	11503	29728
279	11540	29676
280	11579	29628
281	11618	29582
282	11657	29534
283	11693	29481
284	11730	29429
285	11770	29384
286	11809	29338
287	11849	29295
288	11886	29242
289	11924	29194
290	11961	29144
291	11999	29095
292	12037	29047
293	12074	28994
294	12111	28945
295	12148	28894
296	12191	28856
297	12230	28810
298	12266	28758
299	12304	28711
300	12344	28667
301	12383	28620
302	12423	28577
303	12463	28533
304	12500	28485
305	12541	28443
306	12592	28425
307	12639	28398
308	12678	28353
309	12717	28307
310	12759	28266
311	12799	28225
312	12837	28176
313	12879	28137
314	12915	28086
315	12954	28040
316	12993	27995
317	13030	27945
318	13066	27894
319	13106	27851
320	13146	27808
321	13184	27760
322	13223	27716
323	13260	27666
324	13300	27624
325	13342	27584
326	13383	27544
327	13421	27496
328	13458	27449
329	13487	27383
330	13521	27329
331	13559	27282
332	13600	27241
333	13635	27189
334	13675	27146
335	13717	27107
336	13756	27064
337	13795	27020
338	13835	26977
339	13872	26928
340	13906	26875
341	13945	26830
342	13984	26786
343	14022	26740
344	14065	26703
345	14101	26654
346	14140	26609
347	14187	26581
348	14229	26542
349	14276	26513
350	14319	26476
351	14358	26432
352	14397	26387
353	14434	26340
354	14472	26294
355	14510	26248
356	14548	26204
357	14589	26163
358	14630	26123
359	14669	26078
360	14712	26042
361	14755	26005
362	14803	25977
363	14859	25962
364	14908	25937
365	14956	25908
366	15007	25885
367	15055	25856
368	15101	25824
369	15148	25793
370	15197	25766
371	15246	25738
372	15295	25711
373	15332	25663
374	15381	25636
375	15425	25600
376	15467	25559
377	15507	25516
378	15544	25470
379	15582	25423
380	15620	25378
381	15658	25332
382	15694	25283
383	15729	25233
384	15768	25189
385	15809	25147
386	15847	25102
387	15885	25057
388	15924	25013
389	15962	24966
390	15998	24918
391	16036	24873
392	16074	24827
393	16111	24781
394	16149	24734
395	16189	24692
396	16224	24643
397	16266	24604
398	16305	24561
399	16342	24513
400	16383	24473
401	16424	24432
402	16452	24372
403	16488	24324
404	16527	24281
405	16569	24242
406	16610	24202
407	16649	24157
408	16693	24121
409	16732	24078
410	16760	24020
411	16798	23973
412	16836	23930
413	16875	23886
414	16911	23838
415	16947	23791
416	16987	23749
417	17042	23728
418	17090	23698
419	17129	23654
420	17169	23613
421	17207	23569
422	17248	23528
423	17284	23480
424	17318	23430
425	17354	23383
426	17392	23340
427	17429	23293
428	17467	23249
429	17506	23206
430	17548	23167
431	17590	23128
432	17630	23086
433	17671	23046
434	17716	23011
435	17755	22968
436	17796	22927
437	17836	22886
438	17877	22845
439	17914	22800
440	17954	22758
441	17993	22716
442	18030	22670
443	18070	22628
444	18109	22586
445	18146	22541
446	18176	22486
447	18216	22445
448	18257	22404
449	18292	22357
450	18328	22311
451	18369	22271
452	18411	22231
453	18449	22188
454	18526	22191
455	18566	22150
456	18606	22107
457	18642	22061
458	18680	22017
459	18720	21975
